,tunes
0,"F,2D2EDF2A2B2d4|BdB2e2d2G2A2FEA2|D2E2AG2AF4G4|B4G2E2D4E,2F,2|D2E2F2E2E2F2A2F2|F2B2DE3GF3B3d|d2fgg2e2de2fg2e2|f2e2d4d2G2FED2|F,2D2D2FEA2B2d2Bd|B4e2d2G3AE2G2|DF,E2GFG2E3FG2AG|d2B2G2E2E2D2F,4|F,2AGBdBAG2A2E2d2|B2A2A3BB2d2d2ed|g4g2f2e2fgf2e2|e2dBA3BA3dg2f2"
762,d2B2F2A2B2d2G2F2|d4Bd3B2d2f4|d4A2BdA3BD2EF|D4D4A2D2GFA2|d2B2F2A2B2d2G2F2|d4d4B2d2g4|g4g2f2g4g2f2|e2d2B2EFBAG2AB3|d2B2F2A2B2d2G2F2|d4d4B2d2f4|d2BdA2B2A2B2D2F2|D4D4G2D2A2d2|d2B2F2A2B2d2G2F2|d4d4B2d2f2g2|g4g3fg2f2g2e2|f3ed2B2B2G2B4
763,"G2A2B2A2d2e2f4|f2g2f4ed3dBe2|B4G2A2D2E2d2f2|f2e2d4e2Bde2d2|eBefd3edBA2A2E2|EFE2BdA2A3GEF2A|E2F2F2GAE4B2d2|d4e4d2B2A2D2|F,2E2A2BAABe2f4|e2g2g2fee3dBde2|A4F4D3Ee2f2|f2e2d4f2d2f2d2|dBd2Bd2Bd2A2EFD2|EFE2d2E2EFGEFAD2|A2F2B2G2D2A2e4|e2f2e4d2GAd4"
764,d2A2B2A2A2G2A4|e2g2e4e2d2B2A2|Bd3d2e2f2d2d4|e2f2e4f4d4|dBd2BA3A2G2A4|e2g2e4e2d2B2A2|d4d2e2f2d2B2A2|F2G2B2F2G2E2F2E2|d2A2A4A2G2A4|e2g2ede2e2d2B2A2|d4d2e2f2d2d4|ef3e4g2f2d2e2|d2A2A4A2GAA4|e2g2e4e2d2B2A2|d4d2e2f2d2B2dB|F2GFBdG2GF2GEDE2
765,A2D2E2D2A2D2GF3|AB3B2E2d2G2ABA2|ABA2G2F2B2A2B2A2|d2e2B2A2G2A2F2G2|A2D2E2D2A2D2G2F2|B4B2E2d2G2AB2A|B4G2F2B2A2ABA2|de3B2A2G2A2F2A2|e3fgfe2e4f2e2|B3de2f2e2B2d2e2|d4f2e2f2e2g2e2|d4B2A2G2A2F2Bd|e2f2g2e2e4f2e2|BABde2f2e2B2B2e2|f4f2g2fef2d2e2|de3B2A2G2A2F3A
766,"e2B2ded2d2B2e2B2|d2B2B2d2e2G2B2d2|f2d2e2d2B2A2A2B2|efg2g2f2e2f2feg2|e2B2e3dd2B2e2B2|d2BdBd3e2G2B2d2|f2d2e2d2B2A2A2B2|f2g2g2f2e2f2e2f2|D2F,2D4A2edf2e2|GFD2D2EFFED2G2B2|F2DF,F,3DF2ABAB2A|B2g2g2f2e4d2e2|DEF,2D4A2d2f2e2|GFD2D2EFF2D2G2B2|F2D2F,2D2FEA2B4|d2g2g2e2d2e2d2e2"
767,D2G2D2G2G4G2A2|A4A2B2AGA2GFd2|d2B2B4GAF2E2GF|B2e2e2f2d2AGE2D2|D2G2D2GAG4G2A2|A4A2B2F4f2B2|e2d2d2B2B2d2d3B|B2d2GF3GAE2A3G|D2G2D2A2G4G2A2|A4A3BA4F2d2|d2B2A2B2G2FGE2G2|B2deedefdBA2ED3|D2G2D2A2G4G2A2|A4E2B2G2ABdBd2|e4d4d2e2e2de|d2BAGAB2BGABe2EF
768,"A2GFABFED2E2F2E2|F,2F2E4F4E2F2|B2d2d2e2d2B2B2A2|A2e2d4B2A2A2B2|EDE2D4E4F2E2|F,2F2E4F4E2F2|B2d2d2e2d2B2B2A2|A2FGF2E2E2FEE2DE|D4GFE2E4F2E2|F,2F2E4F4E2F2|Bd3d2e2d2B2B4|GAe2d4B2A2G2A2|AGD2DED2F2DEE4|F,2F2E4F4E2F2|d4d2e2d2B2B2A2|G2A2GF3EFE2E3F"
769,E2A2G4G4G2A2|B4d4BdG2G2E2|AGd2A3BG2ABA2d2|d4d2BAB2F2G2AG|E2A2G4G4G2A2|BABAF2D2E4d2e2|g2f2g2ded2e2f2A2|AB3G2EFG2FEFED2|E2A2G4G4AGA2|B4d2Bdd2G2G2F2|A2d2AGA2F2A2A2d2|d2e2dBA2d2G2GF3|E2A2F2G2G4G2A2|G2FGD2EDE2F2E2B2|f2d2f2d2d2e2d2AB|B4G2F2A2G2BA2B
770,e4d4d4e2d2|d2Bdd4e2d2d2e2|g2d2B4dBA2A4|A4F4B2G2GFd2|e4d4d4e2d2|d4d4e2d2d2e2|g2edB4d2A2A2B2|A4G2F2B2A2E2A2|D2E2A2B2d2G2E2G2|B2F2B4dBGFA2GA|deE2A2GFE2B2FGB2|G2B2AGA2A2G2E2d2|D3EAGBAB2G2B2GA|BAF2B4d2GFFGBd|ABdBBdede2fee2AG|ABd2A3GAGF2F2Bd
771,d2A2G2A2d2G2G2F2|B2G2G2D2B4d2e2|d2G2F4d2G2A2GF|d4d4BAB2G2A2|d2A2G2A2d2G2G2F2|dBG2G2D2B4d2e2|d2B2B2G2BdedBd2B|AGF2EDEFG4AG3|d2A2G2A2d2A2A2F2|d2G2G2E2B4d2e2|d2A2F4d2G2A2GF|d4d4BA3GAB2|d2A2G2A2d2A2A2F2|d2G2G2E2B4d2ed|d2Bdd2AGe2d2d2A2|B2GFFGF2AGABA2G2
772,"B2G2B2dBde3d2B2|A2G2G2A2F2E2F,2G2|A2G2G2ABd2B2B4|GAG2A2G2E4F,2D2|B2G2A2d2d2e2d2B2|A2G2GA3F2E2D2G2|A4G2B2d4B4|A2G2B2d2d2ede2d2|d2f2d2e2e2d2B2d2|d2e2e2B2de2dd4|dBd2d4A2B2G2A2|AGA2A4BAB2BAE2|d4G2B2ABG2A2F2|d4e2B2e3dd4|d4d4A2B2GA3|G4F2Bde2f2edBA"
773,"E,2F,2D2E2E2F2E2A2|D2F2E2D2DEF2F2E2|F,2E2F2G2A3GAGB2|d4d2BdA2F2D4|E,2F,2D2E2F4E2A2|D2F2E2D2E2F2F2B2|G2BAE4E2F2F2E2|A2E2E4E2D2D4|E,2F,2D2E2F4E2A2|D2F2E2D2E2F2E4|F,2E2FEF2A4AGB2|d4edB2B2F2D4|E,2F,2D2E2F4E2A2|D2F2E2D2E2F2A2B2|AGABF2E2FG3AG2F|A2E2D4F2E2A2e2"
774,B4B2FGAG3F2G2|B2A2d2B2e2A2B4|A2B2G2FGE2D2E2A2|A4F2AGd2B2e2d2|BGd2d4B2d2e2Bd|B3dFGA2F2A2F2GA|E2ABB4d2f2g2f2|e2d2d2B2AG3EF3|E4G4G2F2G2F2|B2A2d2B2e2AGB4|G2A2F4ED3E2G2|A2G2E2G2d2B2f2e2|dB3GAG2A2GAABA2|F2AGG2E2DE3DEFE|F2GAB2d2B2f2g2f2|e4d2ABA3GA2D2
775,A2e2f2d2B2A2B2A2|F2D2F2G2B2G2EF3|G2F2G2F2A2G2B2A2|G2E2B2GFA2E2F2A2|A2e2f2deB2A2B2A2|F2D2F2G2d2FGF2G2|G3AG4A2B2B4|G2E2B2G2B2E2F2A2|f2e2B2d2d4GAd2|f2d2d4B2G2ABA2|d2B2e2d2e4e2dB|e2B2d2GFE2D2E2GA|f2e2B2d2ded2d3e|f2d2d4B2G2GAd2|d2BAA2e2f2d2f3e|e2f2BA3E2F2F2GA
776,"F2EFA2F2B2A2A4|G4F2A2A4G2B2|d2e2e4e2d2e2f2|e2g2f2efe4e4|d2e2G2B2A2G2F2A2|BdB2B2d2A4G2A2|A2d2A2B2A2G2A2G2|A2G2GAFEE3DFEF,D|D4F4ABA2A4|G4F2A2A4G2B2|d2e2e4e2d2e2f2|efg2f4f4f2d2|e2dBd3BA2GAE2G2|BdB2ABA2A4A4|B2d2d2BdA2G2A2G2|A2F2A4GFEFE2F2"
777,dBf2e3de4d2e2|A2e2f4AB3d2G2|AGd2d2BdD2B2feg2|e2dBA2B2d2EFd2A2|BFBdfgdeB2edf2G2|AB2Ad2AGd2B2d2fg|e4e3dg2f2f2AB|e3ff4e2G2AGFG|AGefe3fefe2d2f2|dBf2f4B3Ad2GA|GAd2B2dBD2B2f2g2|e2d2B4B2A2B2E2|dGd2d2edfge2efBd|d4e2AGBd2AE2BA|g2dBg2feg4f2e2|g4g4f2d2B2d2
778,FEGBG2E2G3FF2A2|d2B2B2A2A2G2D3E|E2F2E4D2E2A2d2|f4e2d2d3Be2d2|e2f2efe2edede2d2|e2d2d4G3FD2EF|A4d4A2B2d2B2|d4A3GG4A2E2|D3EE4E4EFG2|B4B2A2A2G2D3E|E4D2E2D2E2A2d2|f4e2d2d4feB2|fef2f3ef4f2e2|dBd2d3BAB2AE2F2|dBA2e2dBG2B2dBd2|d4B2ABA2G2B2d2
779,"D4B2E2d2D2B2E2|E2D2D2F,2E2F,2A3G|DE3G2E2BdE2B2E2|A2G2A2G2E2GFE2D2|D4B2E2d2D2B2FE|E2D2D2F,2E2F,2B2dB|B4FG3A2d2d2BA|d4G2A2D4D4|D4B2E2d2E2B2F2|E2D2D2F,2E2F,2A4|D3EAGDEB2E2B2ED|GAG2A2G2E2G2E2D2|D4B2E2d2EDB2F2|E2D2D2F,2E2F,2d4|d4F2BdB4d2B2|dedBB4AGF2B2AB"
780,"E,2F,2D4E2F2A2B2|d2f2d2BAA4F2GF|D2E2F4G3FE4|F2EFD4F,D3G2E2|E,2F,2D4E2F2A2B2|d2f2e4d2A2A2G2|D2E2F4G3FE2D2|F,2DEE2D2D4D2F,2|E,2F,2D4E2G2A2B2|d2f2d2B2A4G2F2|D2E2F2GFA2F2E4|F2EFD4F,2D2F2DF,|E,2F,2D4E2G2A2B2|d2f2d4B4d2A2|E4F4A2FGD4|F,3DF2F,DD4F,2E,2"
781,B2fee2g2d4B4|A2F2B2d2g4g4|BAe2e4e2d2d2g2|g2fgg2fgf2e2e2B2|B2f2e2g2e2d2B4|A2G2B2d2g4g4|g2f2e4d4AGFG|BAf2d2GAd4d2e2|B2f2e2g2e2d2BdB2|A2G2B2d2g4g4|d2e2f4e2d2d2g2|g4g2f2f2edd2A2|B2f2e2g2e2d2BdB2|A2G2BAdeg4g4|g2e2e2f2e2A2BAd2|fgf2f2e2e3de4
782,"E,4D2E,2D4F,DF,2|F,2E,2F,4F2D2F,2D2|E,2D2F2F,DF,4D2E,2|F2E2E2D2D3ED2F,2|E,4D2E,2D4D2F,2|E,4F,4F2D2F,2D2|E,2D2FGD2F,4DF,E,2|F2EDE4F,2D2G2e2|d2G2D2F2G2B2B2GA|E2D2F,2D2G2D2D2FG|F2d2d2B2G2A2G2F,2|D2E2F2A2B2dBdBA2|B2EDA2GAd4d2A2|AGB2E3FE2FEDED2|D2F2GFE2D4D2F,2|DF,3D2F,2E,4E,4"
783,"B2d2d2B2B2A2A2d2|d2f2e4g2e2d4|B2d2B2d2f2B2B2f2|BdB2G2FEG2B2A2B2|A2d2d2B2B4A2d2|d2f2e4g2e2d4|B2d2B2d2f2dBd2f2|d2B2G2EFG2B2F2E2|D2F,2D2E2EFE2AG3|AGB2A4e2B2B4|A2G2F2B2deB2B2e2|Bd3G2E2G2A2GAd2|D2F,2D2E2FE2FG4|GAB2A3Be2B2B4|A2G2F2B2e2B2B2e2|dBd2G2E2F2A2G2FA"
784,d2B2A2B2e2d2B2A2|A4A4F2D2D2E2|G2A2B2A2d2B2B2A2|B2e2e2d2A3GA2F2|d2B2A2B2e2d2B2A2|B2ABA4F2DED2E2|d2B2A2B2B2A2GAG2|A2dBG2F2E2A2B2dB|d2B2A2B2e2d2B2A2|A2B2A4F2E2D2E2|A4A4d2B2B2A2|d2e2e2d2A3GA2E2|d2B2A2B2e2d2B2A2|A2B2A4F2E2D2E2|B3AA2B2d2GAA2GF|A2B2A2GAA2B2d4
785,e4e4e4A2B2|G2E2G4d2G2d4|fg3g2f2g2f2e2d2|d4d2A2d2F2ABd2|e4e4e4A2B2|G2E2G4d2G2d4|A2G2E2F2AGe2e2d2|d4B2A2G2E2E2F2|e4e4e4A2B2|G2E2G4d2G2d2e2|g4g2f2g4e2d2|B2d2d2A2B2F2ABd2|e4e4e4A2B2|G2E2G4d2G2d4|A2BAAGAGEGFEB2F2|Bd3B2A2A2E2A4
786,d2A2G2A2d2B2B2d2|e4f2d2d2B2A2Bd|f4B2d2fe3e2f2|e4d4B4A2B2|d2B2G2A2d2B2B2d2|e2f2g2d2d2B2A2d2|e2B2A2GAd2B2e2fe|e2B2A4GFE2GFD2|e2B2G2A2d2B2B2d2|e2f2g2d2d2B2A2d2|f4Bd3e4e2fe|e4d4B4A2d2|d2A2F2A2d2B2B2d2|e2f2g2d2d2B2A2d2|e2ABdBAFGABAe2d2|d4B3AG4G2A2
787,B4edf2g4f4|g4e2d2G2A2d2AB|A2d2e2d2g2e2d2f2|f2e2d4d4e2d2|d2e2e2A2A2e2fge2|efe2fgf2g2f2f2g2|g2f2f4d4fe3|f4e4d4ABA2|A2B2f2gfg4f4|f4e2d2F2AGd2AB|A2d2e2d2f2e2d2f2|f2e2e2d2de3e2F2|B2e2B2dABdf2g2f2|d2edf2e2fgfeB2g2|g2eff2d2B2f2g2e2|g3fe4d2B2e2f2
788,"E2G2D4E2G2A2B2|e2g2g2d2BdB2B4|B2F2E2F2A2F2E2AG|G2FGA2EFD4F,4|E2G2D4E2G2A2B2|e2g2g2d2d2B2B4|B2F2E2G2A2F2F2B2|B2A2G2E2deBde4|E2G2D4E2G2A2B2|e2g2g2d2d2B2B4|B2F2E2G2A2F2E2A2|A2G2A2E2D4F,4|E2G2D4E2G2A2B2|e2g2g2d2d2B2B4|B2GFE2G2A2F2E2AB|A2G2F3GBAd2e2f2"
789,"B2G2d2e2d4G4|E2D2E2B2E2F2E2B2|BA3d2f2e2B2B4|B2d2f2d2B2edede2|ABGFd2f2d4G4|E2D2EFB2E2F2E2B2|BA3d2f2e2B2B4|B2d2f2d2B2e2e4|A2E2DF,D2E4e2g2|fed2F2D2d2B2e2d2|A4F2E2D2FGG2B2|e2f2f2g2g4g2fg|ABE2DF,D2E4e2gf|f2d2F2D2d2BAe2d2|A2BAF2E2D2F2G2Bd|e2f2ef2ggfe2AFB2"
790,"D2EDE4E2D2D4|D2E2F4F2G2E4|D2E2F2G2F2A2FE3|E3FF2E2D4F,2D2|D2E2E4E2D2D4|D2E2F4F2G2E4|D2FEF2G2F2A2A4|A2D2F2GFG2E2A2E2|D2E2E4E2D2D4|D2E2F4F2G2F2E2|D2F2F2G2F2A2F2E2|EDE2E4D4F,2D2|D2E2E4E2D2D4|D2E2F4F2G2F2E2|D2EFF2G2F2A2GAB2|dBFGA4B2F2EDFE"
791,"D2F,2D2E2G2A2A4|F2E2A4GA3G2E2|E4A4B4d2B2|G2FEF3ED4D2F,2|D2F,2D2E2AGA2A4|FGE2A2BAA4G2E2|EFE2A4B4A2GA|G2F2F4D4D2F,2|d4d4Bd3d4|e4d2B2B3AA2B2|d2f2f2e2d2B2d4|B2GFF2A2G2A2G2A2|A2F2AGB2ABF2E2F2|d4d2A2B2A2A3B|d4d2B2B4B4|A2F2F2G2F4D2FE"
792,B4B2d2d4d2f2|d2B2G2F2F2G2G4|D2E2F4A4A2d2|A2E2G2ABB2G2F2G2|B4B2d2d4d2f2|d2B2G2F2F2G2A2G2|D2FGF2GFA4d4|B4B2d2B3ABAd2|B4B2d2d4d2f2|d2B2G2F2F2G2A2G2|D2E2F4A4A2d2|A2F2G2A2A2G2FE3|B4B2d2d4d2f2|d2B2G2F2F2G2A2G2|D2F2F2G2B2A2d2e2|e2d2d2e2BA3A2d2
793,"B2A2B2E2G2A2G2A2|d4B2A2A4A2G2|D2G2G4F4D2E2|F2G2G2E2D2E2F,DF2|AFB2F2A2B3AG2A2|d4B2A2A4A2GF|D2G2A4d4d2e2|f2d2d4e2d2d2GA|B2G2A2F2G2A2G2A2|d4B2A2A2B2A2G2|D2G2G4F4D2E2|F2GAG2E2D2E2F,2E2|B3AA2G2G2A2G2A2|d4B2A2A2B2A2G2|D2G2AGA2B4d2f2|fe3de3e2ABAGe2"
794,"D4DE3E,2F,2F,2E,2|E,2F,2F,2E,2E,4E,2F,2|D3ED2E2D2G2A2F2|D2E2A4D2EDF,DF,2|D4DE3E,2F,2F,2E,2|E,2F,2F,2E,2E,3F,F,2E,2|D2A2EF3D2F2G2E2|D4F,2D2F,4D2G2|D4DE3E,2F,2F,2E,2|E,2F,2F,2E,2E,2F,2F,4|D2E2D2E2D2GAA2E2|D2E2AGA2D2E2D2F,D|D4E4E,2F,2F,2E,2|E,2F,2F,2E,2E,2F,2F,4|D2FED2EFE2FGA2E2|E2D2FED2F,2D2D2F2"
795,d4A4B2G2A4|B2E2F3EF4D2G2|A2G2G2F2F4A2E2|E4G2D2GAD2E2F2|d2BdA4B2G2A4|B2E2F4F4D2G2|A2G2AGF2A2E2F2B2|d4B3AA2E2FEB2|e2d2A4B2G2A4|B2E2G2E2F4D2G2|A2G2A2G2GF2GG2E2|E4G2D2G2D2F4|d4A4B2G2A4|B2E2FGE2F4D2G2|A2G2A2F2AGF2A2d2|Bd3BAB2G4F2ED
796,"F,4D2E2D4F2E2|D2E2D2E2F2E2D4|F,DE2F2G2F2G2GF3|FEA2EFE2D4F,4|F,4D2E2D4F2E2|D2E2D2E2F2E2D4|D2E2F2A2FG3D4|D2F,2F,4F,2D2A2Bd|E4F4E4F4|D2G2D2F2G2F2D2E2|D2G2A4FG3F4|EFA2E2D2F,2D2F,2E2|D4FEF2E4F3E|D2G2D2F2G2F2D2E2|D2G2A4FG3E4|D2F,2F,4F,E,F,DF,2ED"
797,d2e2e4e2d2d4|fg3g4f2d2Bd3|f4e4g2f2e2d2|d2BdA4d4d2e2|d2e2e4e2d2e2d2|g4g4f2d2d4|f4e4edABd4|A3GE4E2FEEFE2|d2e2e4e2d2e2d2|g4g4f2d2d4|f4e4g2f2e3d|d4A3GBd3B2e2|d2e2e4e2d2e2d2|g4g4f2d2d4|f4e3ddeA2A2FG|B2G2FE2DE2GFF2G2
798,e2A2f2G2f2B2e2d2|e2A2B4f2A2ABd2|B2A2gfA2g2d2f2d2|ABFEE2ABA2F2B2d2|e2A2f2A2f2B2e2d2|e2A2B4f2A2B2d2|B2G2D4EDe2ef3|feB2EFB2G2FEF2A2|e2G2f2A2f2B2e4|e2A2B2d2f2A2B2e2|B2A2g2ABg2d2f2dB|B2F2EFB2A2F2A2d2|e2A2f2A2f2B2e3d|e2A2B2d2f2A2B2ed|dBFGEDA2D2F2e2d2|f2e2A2B2AGF2A2B2
799,G4F2BdB2G2F4|A2F2G4A2B2B2d2|B4A2d2d2A2EDE2|F2ABA4F4E2FG|G4F2d2B2G2F4|A2F2G4A2B2B2d2|d2B2B2d2d2A2EDE2|F2E2D3EEF3G2F2|G4F2d2B2G2F3G|A2G2G4A2B2B2d2|d2B2B2d2d2A2E4|F2A2A3GGF3EF2G|G4F2d2B2G2F4|A2G2G4A2B2B2d2|d2B2B2d2d2A2D2E2|F4E4G4A4
800,"F,2D2F,2D2EF3G2A2|B2d2d2e2dB3A2G2|E2D2D4D4D2E2|E2G2E3FE2FED3E|F,2D2F,2D2EF3G2AB|B2d2d2e2BdB2A2G2|EDE2B2e2e4d2e2|e2d2B2A2A2GADEF,2|F,2D2F,2D2F4G2B2|B2d2d2e2d2A2A2G2|DED2D4D4D3E|D2F2E3FE3FEDFE|F,2D2F,2D2F3GG2B2|B2d2d2e2B4B2A2|F3Gd2e2e2f2d2e2|e2d2d2A2A2E2E2F,2"
801,G2d2B2d2B4d2f2|f2g2g3fg2feefe2|f2e2ABdef2d2e2f2|B4d2B2d4A2B2|GAd2B2d2B4d2f2|f2g2g3fg2f2ef3|f2e2A2e2f2d2e4|B4d2B2d2e2A2d2|A2d2d4B2A2d4|e2g2g3fg2e2e2d2|d4d4B4Bde2|B2A2d2B2d4F2B2|A2ded4B2A2d4|e2fgg2f2g2e2e4|d4d4B2A2Bd3|B2d2d2B2B2d2B2de
802,EFG2F2G2G2D2D2E2|G4A2G2A2F2D2A2|AG3G2F2A3GGFG2|B4GF3ED3D2E2|E2G2GFA2G2D2D2E2|G4A2G2A2F2D2A2|d2A2A2F2A3GG3F|G4F4D4D2ED|F2G2G2A2G2D2D2E2|G4A2G2A2F2D2A2|A2G2G2F2A2G2G4|B4F4D4D2EF|F2G2G2A2G2D2D2E2|G4A2G2A2F2D2GA|d2A2G4A2G2G2F2|A2F2F3EED3D2E2
803,"E,2F,2E,4E,2F,E,F,2D2|F,3E,D4GAD2D2E2|E,2F,2F,2D2E,2F,2D4|E4D3F,F,DF,DDF,D2|D2F,2F,4F,4F,2D2|E,2E2E,4E,2F,2E,4|E,2A2E2D2E,2D2D2F,2|F,E,F,2F,4E,4E,4|F,2E,2E,4E,4F,2D2|F,2E,2D4FGD2DF,ED|E,2F,2F,2D2E,2F,2D4|DED2D2F,2F,DF,2F,4|F,2D2FGF,2F,4E,2FE|D4F,2D2F,2D2A2F,2|E,2G2D2F,DF,E,EFD2F,2|F,4D2F,2F,4D2F,2"
804,d2f2d2A2B2ABG2dB|e4e4fe3d2f2|f2ded2B2E2G2ABd2|deB2A2G2D2E2B2AG|f4e2d2A2e2g2d2|dBd2ded2dBF2f3g|g4g2f2e2degfe2|e4ede2g2d2ed3|dB2dd2A2BdB2F2B2|d4efd2e2d2d2e2|f2edd2BAD2G2B2de|edA2A2B2A4edEF|e2g2g2e2d2e2gfef|e3de2fed4FEf2|g4g2f2ede2e2f2|d2fee2f2f2d2f2B2
805,"D4D4F,2DF,E2G2|D2FEE4F,4F,4|F,2D2F,2E2F,2D2F,2D2|DF,D2D2F,2E,F,E,F,F,4|D4D2EDF,4E2G2|D2F2E3DF,4D2F,2|F,2D2F,2E2F,2D2F,2D2|DF,D2D4D4A4|D4D2E2F,2D2E2G2|D2F2E4F,4F,4|F,2D2F,2EDF,2D2F,2D2|F,D3D2F,2E,4F,4|D4D2E2F,2D2E2G2|D2F2E2D2F,4D2F,2|F,2D2F,2D2F,2D2F,4|F,4DF,D2D4F,4"
806,"G2A2G4G4D4|D2G2A2G2GA2BA2D2|F,2D2D2F,DD2G2GA2G|E2AGA2FGd2GFd2A2|A4G4G4D4|D2GAA3GA2d2e2g2|g4g2f2efe2f2d2|d2f2d2AGB2A2A2BA|A4G4G2AGD4|D2G2A4A4A2D2|F,2D2D2F,2D2F2G4|E2GFAG3B2F2dBFG|A4G4G4D4|D2G2A2G2G2B2e2f2|g2f2g2f2f2e2d3e|g4feB2d2B2d2Bd"
807,"D4E2G2G2F2E4|F,4F,2E2A4B4|A2B2ABd2d4B4|A4A4F3ED4|D4E2A2G2F2E4|F,4F,2E2A3BB4|A2B2A2d2d4B4|A4A4F4E2D2|D4E2A2G2F2E4|F,2D2DF,E2A4B4|A2B2B2d2d4B4|A4A4F4D4|D4E2A2G2F2E4|F,2D2D2E2A4B4|A2B2BAd2d4B4|A4A4F4D4"
808,e4d2e2e2d2B2d2|e2f2f2d2d2A2G4|B4B2FEe2B2BdF2|A4B3dd4B2d2|e4d2e2e2d2d4|e2f2f2d2d2A2G2AG|EF3E2G2BA3d2e2|d2B2A2G2A2FGA2GF|d2e2d2e2e2d2d4|e2f2f2d2d2A2G4|B4B2F2edBdd2F2|A4B3dd4B2d2|d2e2d2e2e2d2d4|e2f2f2d2d2A2G4|A2GAAGdBB2A2d4|B4A4FG2FGAB2
809,f4f2dee2d2B4|d4B2g2g2d2de3|g4e2fef2d2e4|d4A4B2e2gfg2|e2g2f2dee2d2B4|d2edBdg2g2d2e2f2|g4d2f2f2BAG3A|G2B2A4A2d2ded2|d4d2BABd3B4|d2B2B2g2g2d2d2f2|g4e2f2f2e2e4|d4A2B2B2e2e2g2|BdABd2BABd3B4|d2B2B2g2g2edd2f2|g3fe3fefB2B2A2|ABd2d2A2B2d2d2e2
810,"E2F,2G2D2E2D2E2FE|E2F,2E2D2A2F,2D2B2|D4B2D2E2D2F2F,2|d2B2d2F2D2E2D2F,D|E2F,2AGD2E2D2E3F|E2F,2E2D2A2F,2D2B2|D4d2D2F2D2F2F,2|d2B2d2F2D2E2D4|d2E2D2A2A2e2e4|A3GD2A2EDF,2D2EF|G2FED2E2EDG2D4|D2FED4D4D2B2|d2FED2A2A2e2e2fe|A2G2D2ABEDF,2D2E2|G2F2D2A2GFefB4|D2FED4D4D3E"
811,"D2E2ED3E4F2DE|F,4D2F2FEF2D2A2|F4FEF2D2E2E2D2|E2GFE4E2D2D4|D2E2D4E4F2E2|D2E2D4FED2B2F2|A2d2d4B4G2D2|F,2D2E4DED2E4|D2E2D4E4E2D2|F,4D2EFE3FD2AG|E4F4D2E2E2D2|E2F2EDE2E2DF,D4|DF,E2D2E2E4D2FE|D2E2E2D2D4A2ED|GAd2d2B2A4G2E2|D3EGFGFD2F2F2DE"
812,A2G2FGE2D2E2F2A2|G2A2A2G2B2A2F2BA|E2D2D4D2E2E2B2|G4G4B2A2d2BA|A2G2F2E2D2E2F2A2|A4A2GFG2E2EFD2|D2B2F4D2GFA2B2|d4Bd3dB3A2ED|G2F2FGE2D2E2F2A2|G2A2A2G2B2G2E2A2|D4D4D2E2E2BA|G4G2FGA2G2d2F2|A2G2G2E2D2E2F2A2|A4A2G2A2G2A3G|E2A2EFE2E2F2A2d2|fgf2ed2ed2BAB2FA
813,"D4D2E2E2D2D4|E4B4d4ABE2|D4D4F,3DF,4|D2E2G2F2B2F2G2D2|E2D2E2F2F2D2E2D2|D2E2GAEFG2F2FGdB|B2G2D4F,2D2F,4|D2E2G2F2B2F2F2D2|A2B2B2d2FGA2G2E2|A2BAe4dedBd2B2|d2BAGA3A2G2B4|F4A2G2B2G2EDE2|D2F,2D2F,DG2E2D2E2|EF3G2E2D2EDD2E2|d2FEF2E2D2E2E2D2|EDE2D4E4D4"
814,d4d2e2d2B2A2Bd|d2B2A4G4B2d2|B4A2B2d2B2d2e2|Bd3d2B2A2B2d2e2|d4d2e2d2B2A2d2|d2B2B2A2G4B2d2|B4A2B2d2B2d2e2|d4d2B2BAB2d2e2|d4d2e2d2B2A2d2|d2B2B2A2G4B2d2|B4A2B2d4d2e2|d4e2B2A2B2B2d2|d4d2e2d4A2d2|d2B2B2A2G4B2d2|B4A2B2d4d2e2|d4deB2A2B2B4
815,"A2g2f2d2A3GF2D2|D2F,2D2E2ABF2B2AG|B2e2e2d2B2d2A2EF|D2F2F2E2A2F2d2B2|A2g2f2d2A4G2F2|AGd2A2B2GF2GA2d2|f2g2g2ede2f2g2d2|BdB2B2F2E2DEFE3|G2g2f2d2A2G2F2D2|D2F,2D2E2GAE2BAG2|B2ede2d2A2d2A2F2|EDF2F2E2G2F2edB2|G2g2f2d2A2G2F2D2|F2GEd4A2BdAGed|f2eddeded4f2d2|e4d4A2E2G2E2"
816,"G4G2F2A2EFF,4|D2E2F2G2G4G2A2|EDB2d2Bde2B2A4|d2f2d2B2A2G2A4|G2A2G2E2A2F2F,2D2|A2B2B2A2A4A2d2|f4f2d2G2d2e2d2|deG2F2G2EF3FE3|GAG2GF3A2E2F,4|D2E2F2G2G4AGAB|D2A2B4d2B2BA3|d2e2d4BAG2A4|F4E2D2A2EFF,2D2|E2F2G4A4G2d2|f4d2BAD2d2e2B2|dB3G2A2G2F2GFG2"
817,"e2d2B2G2F4G2E2|E2F2F3GG4G2A2|B2d2B2A2G2F2E2D2|D4F,2F2AGF2A4|e2d2B2A2F4GAE2|E2F2F2G2GFG2A2G2|A4A2G2F2E2D4|F,4F,2EDE2GFAG2A|e2d2B2A2F4GAE2|E2F2F3GF2G2G2A2|B2d2B2A2G2F2E2D2|D4F,2F2F2GFA4|e2d2B2A2F4AGE2|E2F2F3GF2G2G3A|AB3B2A2G2F2D3F,|F,4D4D2F2E4"
